Name on Show,Full Profile Name,Chinese Name,Company,Company English,Company Chinese,Judges Evaluation 1,Judges Evaluation 2,Judges Evaluation 3,Ranking Ep 2,Ranking Ep 4,Ranking Ep 6,Live Voting Ranking Ep 7,Ranking Ep 9 + 10,Ranking Ep 12,Live Voting Ranking Ep 13,Ranking Ep 16
Xinran Song,Song Xinran,宋昕冉,Shanghai Star48 Culture Media Group SNH48 (丝芭传媒),Shanghai Star48 Culture Media Group SNH48 ,丝芭传媒,D,B,D,22,35,35,13,36,22,22,18
Three,Three Sun Rui,孙芮,Shanghai Star48 Culture Media Group SNH48 (丝芭传媒),Shanghai Star48 Culture Media Group SNH48 ,丝芭传媒,D,D,F,21,23,32,56,33,19,10,15
Diamond,Diamond Dai Meng,戴萌,Shanghai Star48 Culture Media Group SNH48_7SENSES (丝芭传媒),Shanghai Star48 Culture Media Group SNH48_7SENSES ,丝芭传媒,B,C,C,9,11,18,29,24,32,6,20
Kiki,Kiki Xu Jiaqi,许佳琪,Shanghai Star48 Culture Media Group SNH48_7SENSES (丝芭传媒),Shanghai Star48 Culture Media Group SNH48_7SENSES ,丝芭传媒,A,B,B,2,2,2,18,2,7,2,7
Eliwa,Eliwa Xuyang Yuzhuo,许杨玉琢,Shanghai Star48 Culture Media Group SNH48_7SENSES (丝芭传媒),Shanghai Star48 Culture Media Group SNH48_7SENSES ,丝芭传媒,C,B,B,20,17,26,16,37,26,45,23
Tako Zhang,Tako Zhang Yuge,张语格,Shanghai Star48 Culture Media Group SNH48_7SENSES (丝芭传媒),Shanghai Star48 Culture Media Group SNH48_7SENSES ,丝芭传媒,C,C,C,17,19,25,32,30,37,20,24
Anne Hu,Anne Hu Xinyin,胡馨尹,Shangyue Culture AKB48 Team SH (尚越文化),Shangyue Culture AKB48 Team SH,尚越文化,D,C,C,15,25,30,41,41,51,26,49
Kuliko Shen,Kuliko Shen Ying,沈莹,Shangyue Culture AKB48 Team SH (尚越文化),Shangyue Culture AKB48 Team SH,尚越文化,D,D,D,36,52,59,60,67,,,
Babymonster An,Babymonster An Qi,安崎,Star Master Entertainment(匠星娱乐),Star Master Entertainment,匠星娱乐,A,A,A,8,4,5,3,4,5,3,6
Verlina Mo,Verlina Mo Yao,墨谣,Star Master Entertainment(匠星娱乐),Star Master Entertainment,匠星娱乐,B,F,D,45,65,73,85,76,,,
Frhanm Shangguan,Frhanm Shangguan Xiai,上官喜爱,Star Master Entertainment(匠星娱乐),Star Master Entertainment,匠星娱乐,A,D,A,4,6,6,62,10,13,18,14
Shirely Wen,Shirley Wen Zhe,文哲,Star Master Entertainment(匠星娱乐),Star Master Entertainment,匠星娱乐,B,F,D,31,45,54,75,62,,,
Jane Wang,Jane Wang Siyu,王思予,Shinning Star Culture(曜星文化),Shinning Star Culture,曜星文化,B,D,D,65,55,51,69,61,,,
